GO_CC(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_CC,Protein_Domain
nucleus-vacuole junction,13,"['YAR042W', 'YBR097W', 'YDR179W-A', 'YEL013W', 'YER120W', 'YFL042C', 'YHR195W', 'YLL040C', 'YLR072W', 'YLR240W', 'YML104C', 'YNL231C', 'YPR091C']",,,['sterol transfer activity'],"['autophagy', 'intermembrane lipid transfer', 'nucleus-vacuole junction assembly', 'vacuole-ER tethering']",,['endomembrane system morphology: abnormal'],"['SWH1', 'VAC8']",,"['ER-mitochondrion membrane contact site', 'nuclear outer membrane', 'phosphatidylinositol 3-kinase complex, class III, type I', 'phosphatidylinositol 3-kinase complex, class III, type II']",
oligosaccharyltransferase I complex,1,['YGL226C-A'],,,,,,,,,,
oligosaccharyltransferase complex,9,"['YDL232W', 'YEL002C', 'YGL022W', 'YGL226C-A', 'YJL002C', 'YML019W', 'YMR149W', 'YOR085W', 'YOR103C']",,"['CNE1', 'PEP1', 'ALG3', 'SEC66', 'ROT2', 'RGD1', 'RER1', 'PTC1', 'PMT1', 'ACK1', 'OST4', 'SED1', 'SWF1', 'GPI17', 'NHX1', 'WBP1', 'GET2', 'EMP65', 'HAC1', 'STT3', 'CWH41', 'OST5', 'DIE2', 'IRE1', 'BIG1', 'SNX4', 'BCK1', 'MNN11', 'GEF1', 'OPI3', 'HOC1', 'STE24', 'VPS1', 'IRS4', 'CSF1', 'ROM2', 'OST6', 'SPC2', 'VPS9', 'LDO16', 'SWP1', 'SCJ1', 'ALG9', 'ALG12', 'ENB1', 'ALG6', 'ALG8', 'OST3', 'SLP1', 'KRE5', 'ALG5', 'SRO7', 'FYV8']","['dolichyl-diphosphooligosaccharide-protein glycotransferase activity', 'oligosaccharyl transferase activity']","['protein N-linked glycosylation', 'protein N-linked glycosylation via asparagine', 'protein glycosylation']",,,"['PKC1', 'PMT1', 'OST4', 'SSS1', 'WBP1', 'SBH2', 'SBH1', 'STT3', 'OST5', 'OST1', 'YJR015W', 'SEC61', 'OST6', 'SWP1', 'OST3', 'OST2']",,"['endoplasmic reticulum', 'endoplasmic reticulum membrane', 'integral component of membrane', 'membrane']","['OST3 / OST6 family, transporter family']"
organelle membrane,1,['YDR517W'],,,,,,,,,,
organelle membrane contact site,1,['YLL040C'],,,,,,,,,,
origin recognition complex,3,"['YBR060C', 'YNL261W', 'YPR162C']",,,['DNA replication origin binding'],"['DNA replication', 'DNA replication initiation', 'chromatin silencing at silent mating-type cassette', 'pre-replicative complex assembly involved in nuclear cell cycle DNA replication']",,,"['MCM2', 'ORC2', 'ORC6', 'CDC6', 'TAH11', 'ORC3', 'ORC5', 'HAT1', 'ORC4']",,"['DNA replication preinitiation complex', 'nuclear origin of replication recognition complex', 'nuclear pre-replicative complex']",
outer membrane,2,"['YNL026W', 'YNL208W']",,,,,,,,,,
outer plaque of mitotic spindle pole body,3,"['YAL047C', 'YNL225C', 'YOR373W']",,,,['astral microtubule organization'],,,"['SPC110', 'ADY4', 'CDC5', 'KIN4', 'NUD1', 'LGE1']",,"['cytoskeleton', 'outer plaque of spindle pole body', 'spindle pole body']",
outer plaque of spindle pole body,6,"['YAL047C', 'YBR133C', 'YHR172W', 'YLR212C', 'YNL126W', 'YNL225C']",,"['SPC72', 'SPC97', 'TUB4', 'SPC98']","['gamma-tubulin binding', 'microtubule minus-end binding']","['cytoplasmic microtubule organization', 'microtubule cytoskeleton organization', 'microtubule nucleation', 'mitotic cell cycle', 'mitotic spindle organization', 'spindle assembly']",,,"['SPC72', 'SPC110', 'SPC97', 'MLP2', 'TUB4', 'TUB1', 'SPC98', 'KAR1', 'LGE1']",,"['centrosome', 'cytoskeleton', 'equatorial microtubule organizing center', 'gamma-tubulin complex', 'gamma-tubulin small complex', 'inner plaque of spindle pole body', 'microtubule', 'microtubule organizing center', 'mitotic spindle pole body', 'outer plaque of mitotic spindle pole body', 'spindle pole body']","['Gamma tubulin complex component C-terminal', 'Gamma tubulin complex component N-terminal']"
oxoglutarate dehydrogenase complex,4,"['YDR148C', 'YFL018C', 'YIL125W', 'YPL017C']",,,"['dihydrolipoyl dehydrogenase activity', 'oxoglutarate dehydrogenase (succinyl-transferring) activity']",['2-oxoglutarate metabolic process'],"['2-ketoglutarate dehydrogenase complex', 'TCA cycle, aerobic respiration']",,"['KGD2', 'YMR31', 'KGD1']",,"['mitochondrial nucleoid', 'mitochondrial oxoglutarate dehydrogenase complex']","['Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain']"
pICln-Sm protein complex,2,"['YGR074W', 'YLR147C']",,,,['spliceosomal snRNP assembly'],,,,,"['SMN-Sm protein complex', 'U1 snRNP', 'U12-type spliceosomal complex', 'U2 snRNP', 'U2-type prespliceosome', 'U4 snRNP', 'U4/U6 x U5 tri-snRNP complex', 'U5 snRNP', 'catalytic step 2 spliceosome', 'commitment complex', 'precatalytic spliceosome', 'spliceosomal tri-snRNP complex']",
palmitoyltransferase complex,1,['YOL110W'],,,,,,,,,,
perinuclear endoplasmic reticulum,8,"['YAR042W', 'YDL019C', 'YDR294C', 'YGL160W', 'YHR073W', 'YIL090W', 'YLR312C', 'YNR008W']",,,"['lipid binding', 'sterol binding', 'sterol transfer activity', 'sterol transporter activity']","['exocytosis', 'intermembrane lipid transfer', 'lipid transport', 'maintenance of cell polarity', 'piecemeal microautophagy of nucleus', 'sterol transport']",,,,,"['cortical endoplasmic reticulum', 'endoplasmic reticulum', 'intracellular membrane-bounded organelle', 'membrane']",['Oxysterol-binding protein']
perinuclear endoplasmic reticulum membrane,1,['YKL100C'],,,,,,,,,,
perinuclear region of cytoplasm,20,"['YBR170C', 'YBR212W', 'YBR290W', 'YDL226C', 'YDR213W', 'YEL034W', 'YGL173C', 'YGR142W', 'YGR218W', 'YLR150W', 'YLR228C', 'YLR270W', 'YMR125W', 'YMR186W', 'YNL064C', 'YNL189W', 'YOR129C', 'YOR173W', 'YPL178W', 'YPL240C']",,"['SNC1', 'FUN12', 'RBG1', 'CYC3', 'ECM1', 'SLA1', 'RPL19B', 'HEK2', 'YBR016W', 'GAL10', 'POA1', 'RPL4A', 'REG2', 'RFS1', 'YRO2', 'TRM7', 'ECM8', 'IST2', 'CNS1', 'RPL21A', 'HPC2', 'PRP5', 'HIS7', 'REI1', 'GIT1', 'GPM2', 'LUC7', 'HNT1', 'RPL35B', 'PCL9', 'GGC1', 'MRPL11', 'CWC2', 'BRE4', 'ADY3', 'YRB1', 'RCR2', 'YDR124W', 'CWC15', 'PRP42', 'PRP28', 'TRS23', 'MET32', 'RKM4', 'PMP3', 'MTH1', 'NSE3', 'PRO1', 'SRB7', 'RGA2', 'EFT2', 'DIT2', 'STE14', 'YDR415C', 'NPL3', 'LRS4', 'PKH1', 'TCA17', 'MAK10', 'TIR1', 'ERG28', 'YCK3', 'SPT15', 'SPB4', 'CDC4', 'EMP47', 'ALR2', 'CMK1', 'GSY1', 'RPN12', 'SCW11', 'PRM8', 'YPT32', 'ADE5,7', 'CSE1', 'VOA1', 'YGR127W', 'UTP8', 'TIF4631', 'ZPR1', 'COQ6', 'RPN1', 'MED6', 'OSH3', 'PTC7', 'STE12', 'PEX28', 'SPC97', 'NVJ1', 'RPN10', 'YIA6', 'VID28', 'GVP36', 'AGE2', 'SYG1', 'SEC28', 'CAB2', 'TAO3', 'SEC11', 'NOP9', 'YHC3', 'NIT2', 'ASG7', 'CPS1', 'ILV3', 'ANB1', 'LIA1', 'MRT4', 'APL2', 'DBR1', 'GPM1', 'RPL17A', 'COX17', 'SOF1', 'PAU17', 'COF1', 'RLP24', 'SDO1', 'SNF7', 'PDC1', 'FCF2', 'XDJ1', 'CLF1', 'SMD3', 'PUS5', 'CBF5', 'SAM1', 'CPR6', 'MAP1', 'HAP1', 'CTS1', 'YHC1', 'CSR1', 'SKI2', 'TUB1', 'NUP116', 'STB2', 'MOT3', 'SEC14', 'RPL20A', 'PSE1', 'NIP1', 'SIS1', 'NOP15', 'RPC19', 'SRP1', 'IES2', 'LAP3', 'NAR1', 'PDR17', 'POP3', 'WSC2', 'RPS19B', 'BXI1', 'CIT1', 'URK1', 'DBP6', 'MRX15', 'PET494', 'TRM112', 'PFA4', 'SPO21', 'CDC33', 'DBP5', 'RAT1', 'SKI7', 'ECM3', 'NUP1', 'TRS33', 'VPH1', 'MUM3', 'SLY41', 'SNC2', 'NDD1', 'NOG1', 'PEP4', 'MCM16', 'MAK3', 'NVJ2', 'LDS1', 'GIP4', 'POP5', 'AIM2', 'SEO1', 'MOH1', 'COQ1', 'FMP23', 'YBR062C', 'YBR071W', 'YSA1', 'GDT1', 'YBR197C', 'YBR219C', 'YBR242W', 'SPO23', 'YBR259W', 'SAF1', 'YBR285W', 'LDB16', 'NFS1', 'GFD2', 'YCR050C', 'GRX6', 'YDL144C', 'ASF2', 'YDL199C', 'NHP2', 'YDL211C', 'YDR042C', 'PET100', 'NVJ3', 'DON1', 'PHM6', 'MGP12', 'YDR444W', 'SPP41', 'GTT3', 'AVT2', 'RMD6', 'YER034W', 'YER039C-A', 'RPL23B', 'SMX2', 'PAU5', 'RPL22B', 'LAM5', 'AQY3', 'YFR006W', 'YFH7', 'AIP5', 'IGD1', 'YFR018C', 'RPL28', 'MRF1', 'MCO32', 'THI4', 'YLF2', 'MAS2', 'YHI9', 'RPP1', 'ARO9', 'SPS100', 'MTG2', 'YIL001W', 'RGI2', 'RCI37', 'PRM5', 'YIL165C', 'SOA1', 'EGH1', 'YJL027C', 'LOH1', 'NUP192', 'IML2', 'YJL107C', 'IDS2', 'ATG36', 'YJL193W', 'YJR056C', 'CCT5', 'PXP2', 'YJR142W', 'ARC19', 'PSG1', 'FAT3', 'YLL032C', 'AYT1', 'YLR012C', 'YLR031W', 'ICT1', 'USB1', 'CSC1', 'YLR257W', 'CMG1', 'RPP0', 'SPO77', 'NMD4', 'UTP21', 'YML079W', 'UTP15', 'YMR099C', 'RPL13B', 'AIM36', 'YMR206W', 'PRC1', 'EFM6', 'YNL035C', 'YNL058C', 'YGP1', 'SPS19', 'CRS1', 'RTC4', 'PFS2', 'YNL320W', 'YRF1-6', 'YNR014W', 'MNT4', 'YNR071C', 'YOL024W', 'NGL1', 'MAM3', 'YOL131W', 'RPL33B', 'TRE2', 'YOR342C', 'AMF1', 'FRE3', 'YPL077C', 'RPL5', 'MF(ALPHA)1', 'YPL199C', 'YPL225W', 'SRP68', 'YPL257W', 'AGC1', 'RRP9', 'YPR147C', 'CUR1']",,"[""'de novo' protein folding"", 'nuclear-transcribed mRNA catabolic process, nonsense-mediated decay']",,,"['MUD1', 'SSE2', 'RNQ1', 'DHH1', 'AIR2', 'SAN1', 'PRP42', 'SNU56', 'NPL3', 'DIG2', 'RPN11', 'XRN1', 'NAM8', 'YAK1', 'URB2', 'YRA2', 'CBF5', 'BUR2', 'DCS1', 'STE11', 'CUS1', 'THO2', 'NUP1', 'SNU66', 'YPL245W', 'YOL029C']",,"['P-body', 'cytoplasm', 'macromolecular complex', 'nuclear cap binding complex', 'nucleus']","['Hsp90 protein', 'Scavenger mRNA decapping enzyme (DcpS) N-terminal', 'Scavenger mRNA decapping enzyme C-term binding']"
periplasmic space,12,"['YBL016W', 'YDR321W', 'YGR040W', 'YIL101C', 'YKL157W', 'YLR155C', 'YLR157C', 'YLR158C', 'YLR160C', 'YLR377C', 'YMR008C', 'YPR026W']",,,"['asparaginase activity', 'hydrolase activity']","['asparagine catabolic process', 'asparagine metabolic process', 'cellular amino acid metabolic process', 'cellular response to nitrogen starvation']",['asparagine degradation'],,,"['NGG1', 'PGD1', 'SRB2', 'MSN2']","['cell wall-bounded periplasmic space', 'extracellular region']","['Asparaginase, N-terminal', 'Glutaminase/Asparaginase C-terminal domain']"
peroxisomal importomer complex,10,"['YDR244W', 'YDR265W', 'YDR424C', 'YGL153W', 'YGR077C', 'YJL210W', 'YLR191W', 'YMR026C', 'YNL214W', 'YOL147C']",,"['NAT1', 'PEX19', 'PEX10', 'RIP1', 'COG3', 'UPF3', 'PEX4', 'ARD1', 'AIM22', 'PEX2', 'SPT8', 'PEX13', 'EST1', 'PEX12', 'MRPL50', 'NPT1']","['protein binding, bridging']","['peroxisome organization', 'protein import into peroxisome matrix', 'protein import into peroxisome matrix, docking', 'protein transport']",,"['peroxisomal morphology: absent', 'peroxisomal transport: absent', 'peroxisomal transport: decreased', 'utilization of carbon source: absent']","['UBC4', 'PEX19', 'MDH3', 'PEX7', 'PEX5', 'PEX10', 'PEX3', 'PEX14', 'PEX8', 'PEX4', 'PEX18', 'PEX2', 'PEX1', 'PLN1', 'PEX13', 'ERG6', 'PEX12', 'PEX17', 'PEX6', 'PEX15', 'PEX11']",,"['Pex17p-Pex14p docking complex', 'integral component of peroxisomal membrane', 'peroxisomal membrane', 'peroxisome']",['Pex2 / Pex12 amino terminal region']
peroxisomal matrix,18,"['YBR222C', 'YDL078C', 'YDR142C', 'YDR256C', 'YEL020C', 'YGL205W', 'YGR077C', 'YIL160C', 'YIR031C', 'YIR037W', 'YJR019C', 'YJR111C', 'YKL026C', 'YLR284C', 'YNL117W', 'YNL202W', 'YOR084W', 'YOR180C']",,['PRX1'],"['dodecenoyl-CoA delta-isomerase activity', 'malate synthase activity', 'peroxidase activity', 'peroxiredoxin activity', 'phospholipid-hydroperoxide glutathione peroxidase activity']","['cellular oxidant detoxification', 'fatty acid beta-oxidation', 'fatty acid metabolic process', 'glyoxylate cycle', 'response to oxidative stress']","['fatty acid oxidation pathway', 'glutathione-glutaredoxin redox reactions', 'glyoxylate cycle']",['utilization of carbon source: absent'],"['PEX5', 'PEX14']",,['peroxisome'],
peroxisomal membrane,38,"['YAL055W', 'YBR041W', 'YBR168W', 'YBR222C', 'YCL056C', 'YDL065C', 'YDR244W', 'YDR265W', 'YDR329C', 'YDR479C', 'YER015W', 'YGL153W', 'YGR004W', 'YGR028W', 'YGR168C', 'YGR239C', 'YHR150W', 'YHR160C', 'YJL210W', 'YKL188C', 'YKL197C', 'YLR191W', 'YLR324W', 'YLR450W', 'YML075C', 'YMR018W', 'YMR026C', 'YMR163C', 'YMR204C', 'YNL214W', 'YNL329C', 'YOL044W', 'YOL147C', 'YOR193W', 'YPL112C', 'YPL147W', 'YPR128C', 'YPR165W']","['adrenoleukodystrophy', 'peroxisomal biogenesis disorder']","['NAT1', 'KNH1', 'PEX19', 'PEX10', 'RIP1', 'COG3', 'PEX8', 'PEX4', 'ARD1', 'AIM22', 'PEX2', 'PEX1', 'SPT8', 'PEX13', 'EST1', 'PEX12', 'MRPL50', 'PEX27', 'NPT1', 'NCR1', 'PEX25', 'ATG36']","['long-chain fatty acid transporter activity', 'protein binding']","['ER-dependent peroxisome organization', 'coenzyme A metabolic process', 'fatty acid beta-oxidation', 'membrane tubulation', 'peroxisomal long-chain fatty acid import', 'peroxisome inheritance', 'peroxisome organization', 'protein import into peroxisome matrix', 'protein import into peroxisome matrix, docking', 'protein import into peroxisome matrix, receptor recycling', 'protein import into peroxisome membrane', 'protein targeting to peroxisome', 'regulation of peroxisome organization', 'very long-chain fatty acid catabolic process']",,"['peroxisomal morphology: abnormal', 'peroxisomal morphology: absent', 'peroxisomal transport: absent', 'peroxisomal transport: decreased', 'starvation resistance: decreased', 'stress resistance: decreased', 'utilization of carbon source: absent']","['PEX22', 'PEX32', 'PEX34', 'PEX19', 'PEX7', 'PEX5', 'PEX10', 'PEX3', 'PEX14', 'PEX8', 'PEX4', 'PEX18', 'ATG36', 'PEX2', 'PEX1', 'PLN1', 'PEX13', 'PEX30', 'ERG6', 'PEX12', 'INP1', 'PEX17', 'PEX6', 'PEX15', 'PEX11', 'PEX27', 'PEX25']",,"['Pex17p-Pex14p docking complex', 'integral component of membrane', 'integral component of peroxisomal membrane', 'membrane', 'peroxisomal importomer complex', 'peroxisome']","['Pex2 / Pex12 amino terminal region', 'Integral peroxisomal membrane peroxin']"
peroxisome,89,"['YAL055W', 'YBL039W-B', 'YBR041W', 'YBR168W', 'YBR222C', 'YBR255W', 'YCL056C', 'YCR005C', 'YDL022W', 'YDL065C', 'YDL078C', 'YDR142C', 'YDR244W', 'YDR255C', 'YDR256C', 'YDR265W', 'YDR329C', 'YDR424C', 'YDR479C', 'YDR498C', 'YEL020C', 'YER015W', 'YFL030W', 'YGL037C', 'YGL067W', 'YGL153W', 'YGL184C', 'YGL205W', 'YGR004W', 'YGR028W', 'YGR077C', 'YGR088W', 'YGR132C', 'YGR133W', 'YGR154C', 'YGR168C', 'YGR239C', 'YHR150W', 'YHR160C', 'YIL065C', 'YIL089W', 'YIL160C', 'YIR031C', 'YIR034C', 'YIR037W', 'YJL031C', 'YJL185C', 'YJL210W', 'YJR019C', 'YJR111C', 'YKL026C', 'YKL188C', 'YKL197C', 'YKR001C', 'YKR009C', 'YKR096W', 'YLL001W', 'YLL039C', 'YLR027C', 'YLR151C', 'YLR191W', 'YLR240W', 'YLR284C', 'YLR324W', 'YLR440C', 'YML042W', 'YMR018W', 'YMR026C', 'YMR163C', 'YMR204C', 'YMR220W', 'YMR304W', 'YNL009W', 'YNL117W', 'YNL202W', 'YNL214W', 'YNL258C', 'YNL329C', 'YOL044W', 'YOL147C', 'YOR084W', 'YOR180C', 'YOR193W', 'YPL112C', 'YPL147W', 'YPL204W', 'YPR128C', 'YPR165W', 'YPR194C']",,"['NAT1', 'KNH1', 'PEX19', 'PEX10', 'RIP1', 'PDA1', 'PEX4', 'ARD1', 'AIM22', 'PEX1', 'SPT8', 'PEX13', 'PEX12', 'MRPL50', 'NPT1', 'NCR1', 'PEX25']","['long-chain fatty acid transporter activity', 'peroxidase activity']","['ER-dependent peroxisome organization', 'cellular oxidant detoxification', 'fatty acid beta-oxidation', 'fatty acid metabolic process', 'glyoxylate cycle', 'peroxisome fission', 'peroxisome inheritance', 'peroxisome organization', 'protein import into peroxisome matrix', 'protein import into peroxisome matrix, docking', 'protein import into peroxisome matrix, receptor recycling', 'regulation of peroxisome organization']","['fatty acid oxidation pathway', 'glyoxylate cycle']","['peroxisomal distribution: abnormal', 'peroxisomal morphology: abnormal', 'peroxisomal morphology: absent', 'peroxisomal transport: absent', 'peroxisomal transport: decreased', 'stress resistance: decreased', 'utilization of carbon source: absent']","['PEX22', 'PEX34', 'PEX19', 'PEX7', 'PEX5', 'PEX10', 'PEX3', 'PEX14', 'PEX8', 'PEX4', 'PEX18', 'SSM4', 'POT1', 'ATG36', 'PEX2', 'PRP40', 'SBA1', 'PEX1', 'PLN1', 'PEX13', 'PEX30', 'ERG6', 'PEX12', 'INP1', 'PEX17', 'PEX6', 'PEX15', 'PEX11', 'PEX27', 'PEX25']",,"['Pex17p-Pex14p docking complex', 'cytosol', 'integral component of peroxisomal membrane', 'membrane', 'peroxisomal importomer complex', 'peroxisomal matrix', 'peroxisomal membrane']","['Pex2 / Pex12 amino terminal region', 'Integral peroxisomal membrane peroxin']"
phagocytic vesicle,1,['YML001W'],,,,,,,,,,
phagophore,7,"['YDL149W', 'YFR021W', 'YGL180W', 'YMR159C', 'YNL242W', 'YNR007C', 'YPL149W']",,"['ATG14', 'CCZ1', 'ATG12', 'ATG15', 'ERS1', 'ATG18', 'ATG7', 'ATG10', 'SGD1', 'ATG23', 'ATG16', 'ATG4', 'VPS30', 'ATG13']",['Atg8 ligase activity'],"['C-terminal protein lipidation', 'CVT pathway', 'autophagosome assembly', 'autophagy', 'late nucleophagy', 'macroautophagy', 'mitophagy', 'nucleophagy', 'piecemeal microautophagy of nucleus', 'protein localization to pre-autophagosomal structure', 'protein transport', 'reticulophagy']",,"['autophagy: absent', 'cell cycle progression: absent', 'chronological lifespan: decreased', 'desiccation resistance: decreased', 'late nucleophagy: absent', 'metal resistance: decreased', 'mitophagy: decreased', 'nuclear morphology: abnormal', 'pexophagy: absent', 'protein/peptide accumulation: increased', 'protein/peptide modification: absent', 'reticulophagy: decreased', 'sporulation efficiency: decreased', 'sporulation: absent', 'vacuolar transport: decreased', 'viability: decreased']","['ATG8', 'SFT2', 'ATG12', 'CDC48', 'ATG9', 'SAC6', 'SEC4', 'ATG18', 'VPS1', 'ATG16', 'ATG2', 'SSO1', 'SEC23']",,"['Atg12-Atg5-Atg16 complex', 'autophagosome', 'cytosol', 'pre-autophagosomal structure', 'pre-autophagosomal structure membrane', 'vacuole-isolation membrane contact site']",
phenylalanine-tRNA ligase complex,2,"['YFL022C', 'YLR060W']",,,['phenylalanine-tRNA ligase activity'],['phenylalanyl-tRNA aminoacylation'],,,,,,
"phosphatidylinositol 3-kinase complex, class III, type I",5,"['YBR097W', 'YBR128C', 'YLR211C', 'YLR240W', 'YPL120W']",,,,"['autophagy', 'macroautophagy', 'pexophagy']",,"['autophagy: absent', 'protein/peptide distribution: abnormal', 'protein/peptide modification: absent', 'vacuolar transport: abnormal', 'viability: decreased']","['PEP1', 'SEC17', 'SFT2', 'VPS15', 'ATG14', 'CDC48', 'AKR1', 'YPT31', 'YCK3', 'SEC4', 'YPT1', 'EMP47', 'PRM8', 'PMR1', 'EMP24', 'PIL1', 'GOS1', 'SVP26', 'BET1', 'NEO1', 'DID4', 'SFT1', 'COY1', 'VPS1', 'DID2', 'TVP38', 'SNF7', 'ATG38', 'VPS34', 'SEC22', 'FKS1', 'VPS38', 'YPT7', 'ERV25', 'STV1', 'VTI1', 'YIP3', 'SEC21', 'PEP12', 'VPS21', 'VPS30', 'SSO1', 'YOP1', 'SEC23', 'SSP120']",,"['endosome', 'endosome membrane', 'fungal-type vacuole membrane', 'nucleus-vacuole junction', 'phosphatidylinositol 3-kinase complex, class III, type II', 'pre-autophagosomal structure', 'pre-autophagosomal structure membrane', 'vacuole-isolation membrane contact site']",
"phosphatidylinositol 3-kinase complex, class III, type II",4,"['YBR097W', 'YLR240W', 'YLR360W', 'YPL120W']",,,,"['autophagy', 'late endosome to vacuole transport', 'macroautophagy', 'pexophagy', 'protein transport']",,"['autophagy: absent', 'metal resistance: decreased', 'protein/peptide modification: absent', 'protein/peptide modification: decreased', 'vacuolar transport: abnormal']","['PEP1', 'SEC17', 'PTC3', 'SFT2', 'VPS15', 'ATG14', 'CDC48', 'AKR1', 'YPT31', 'YCK3', 'SEC4', 'YPT1', 'EMP47', 'PRM8', 'PMR1', 'EMP24', 'PIL1', 'GOS1', 'SVP26', 'BET1', 'NEO1', 'DID4', 'SFT1', 'COY1', 'VPS1', 'DID2', 'TVP38', 'SNF7', 'ATG38', 'VPS34', 'SEC22', 'FKS1', 'VPS38', 'YPT7', 'ERV25', 'STV1', 'VTI1', 'YIP3', 'SEC21', 'PEP12', 'VPS21', 'VPS30', 'SSO1', 'YOP1', 'SEC23', 'SSP120']",,"['endosome', 'endosome membrane', 'fungal-type vacuole membrane', 'nucleus-vacuole junction', 'phosphatidylinositol 3-kinase complex, class III, type I', 'vacuole-isolation membrane contact site']",
phosphopantothenoylcysteine decarboxylase complex,3,"['YKL088W', 'YKR072C', 'YOR054C']",,,"['FMN binding', 'phosphopantothenoylcysteine decarboxylase activity', 'protein phosphatase inhibitor activity']",['coenzyme A biosynthetic process'],['pantothenate and coenzyme A biosynthesis'],,"['PPZ2', 'ERG11', 'CAB3', 'PPZ1', 'CKA2']",,['CoA-synthesizing protein complex'],['Flavoprotein']
phosphopyruvate hydratase complex,5,"['YGR254W', 'YHR174W', 'YMR323W', 'YOR393W', 'YPL281C']",,"['ENO1', 'ENO2', 'ERR3', 'ERR2']","['lyase activity', 'magnesium ion binding', 'melatonin binding', 'metal ion binding', 'phosphopyruvate hydratase activity']",['glycolytic process'],"['gluconeogenesis', 'glycolysis']",,,['GCR2'],,"['Enolase, C-terminal TIM barrel domain', 'Enolase, N-terminal domain']"
