GO_MF(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_MF,Protein_Domain
monocarboxylic acid transmembrane transporter activity,2,"['YMR034C', 'YNL065W']",,,,['monocarboxylic acid transport'],,,,,,
monocarboxylic acid-transporting ATPase activity,1,['YLL048C'],,,,,,,,,,
monooxygenase activity,9,"['YBL098W', 'YDR402C', 'YGR255C', 'YHR007C', 'YHR176W', 'YJR070C', 'YJR149W', 'YMR015C', 'YOR125C']",,,,,['ubiquinone biosynthesis from 4-hydroxybenzoate'],,,,"['flavin adenine dinucleotide binding', 'heme binding', 'iron ion binding', 'oxidoreductase activity', 'oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen', 'oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen']","['Cytochrome P450', 'FAD binding domain']"
monosaccharide binding,4,"['YBR196C', 'YFL017C', 'YGR240C', 'YMR205C']",['glycogen storage disease'],,['6-phosphofructokinase complex'],"['canonical glycolysis', 'fructose 1,6-bisphosphate metabolic process', 'fructose 6-phosphate metabolic process', 'glycolytic process', 'regulation of intracellular pH']",['glycolysis'],,,['GCR2'],"['6-phosphofructokinase activity', 'AMP binding', 'fructose-6-phosphate binding', 'identical protein binding']",['Phosphofructokinase']
motor activity,7,"['YAL029C', 'YHR023W', 'YKL079W', 'YKL129C', 'YMR109W', 'YMR299C', 'YOR326W']",,"['CMD1', 'MLC1', 'HOF1', 'BNI1', 'LAS17', 'MYO2']","['actin cytoskeleton', 'cell tip', 'cytoskeleton', 'filamentous actin', 'incipient cellular bud site', 'microvillus', 'myosin complex', 'vesicle']","['actin filament organization', 'vesicle transport along actin filament']",,,"['CMD1', 'ACT1', 'MYO1', 'BNR1', 'SSH4', 'GPM1', 'DYN1', 'PWP1', 'MCM5', 'SHE4', 'GYP5', 'NCA2', 'MET1']",,"['ATP binding', 'actin binding', 'actin filament binding', 'microfilament motor activity', 'nucleotide binding']","['Myosin head (motor domain)', 'DIL domain', 'Unconventional myosin tail, actin- and lipid-binding']"
myo-inositol transmembrane transporter activity,2,"['YDR497C', 'YOL103W']",,,,['myo-inositol transport'],,,,,['myo-inositol:proton symporter activity'],
myo-inositol:proton symporter activity,4,"['YDR387C', 'YDR497C', 'YFL040W', 'YOL103W']",,,,"['myo-inositol transport', 'transmembrane transport']",,,,,"['myo-inositol transmembrane transporter activity', 'transmembrane transporter activity']",['Sugar (and other) transporter']
myosin II binding,2,"['YBL106C', 'YPR032W']",,,,"['regulation of exocytosis', 'regulation of protein secretion']",,,,,['syntaxin binding'],"['Lethal giant larvae(Lgl) like, C-terminal']"
myosin II heavy chain binding,4,"['YGL106W', 'YMR032W', 'YPL242C', 'YPR188C']",,['IQG1'],"['MIH complex', 'cellular bud neck', 'cellular bud neck contractile ring', 'myosin II complex', 'myosin complex', 'site of polarized growth']","['cell cycle', 'cell division', 'mitotic actomyosin contractile ring assembly', 'protein localization to cell division site', 'regulation of mitotic actomyosin contractile ring contraction']",,,"['MLC1', 'MYO1']",,,
myosin II light chain binding,2,"['YHR023W', 'YPL242C']",,,['cellular bud neck contractile ring'],['mitotic actomyosin contractile ring assembly'],,,,,['myosin light chain binding'],
myosin II tail binding,1,['YNL166C'],,,,,,,,,,
myosin V binding,1,['YGL106W'],,,,,,,,,,
myosin binding,2,"['YDL146W', 'YOR035C']",,,,,,,,,,
myosin light chain binding,2,"['YHR023W', 'YPL242C']",,,['cellular bud neck contractile ring'],['mitotic actomyosin contractile ring assembly'],,,,,['myosin II light chain binding'],
myristoyl-CoA hydrolase activity,1,['YJR019C'],,,,,,,,,,
myristoyl-[acyl-carrier-protein] hydrolase activity,1,['YKL182W'],,,,,,,,,,
nascent polypeptide-associated complex binding,2,"['YBR230C', 'YIL137C']",,,,,,,,,,
neutral amino acid transmembrane transporter activity,1,['YOR348C'],,,,,,,,,,
nicotinamidase activity,1,['YGL037C'],,,,,,,,,,
nicotinamide riboside hydrolase activity,2,"['YDR400W', 'YLR209C']",,,,"['NAD biosynthesis via nicotinamide riboside salvage pathway', 'nicotinate nucleotide salvage']","['nicotinamide riboside salvage pathway II', 'nicotinate riboside salvage pathway II']",,,,,
nicotinamide riboside transmembrane transporter activity,2,"['YAL022C', 'YOR071C']",,,,"['nicotinamide riboside transport', 'nucleobase transport']",,,,,['nucleobase transmembrane transporter activity'],
nicotinamide-nucleotide adenylyltransferase activity,3,"['YCL047C', 'YGR010W', 'YLR328W']",,,,"['NAD biosynthetic process', 'biosynthetic process', 'pyridine nucleotide biosynthetic process']","['NAD salvage pathway', 'de novo NAD biosynthesis', 'nicotinamide riboside salvage pathway I']",,,,"['nicotinate-nucleotide adenylyltransferase activity', 'nucleotidyltransferase activity']",['Cytidylyltransferase-like']
nicotinate phosphoribosyltransferase activity,1,['YOR209C'],,,,,,,,,,
nicotinate-nucleotide adenylyltransferase activity,2,"['YGR010W', 'YLR328W']",,,,"['NAD biosynthetic process', 'pyridine nucleotide biosynthetic process']","['NAD salvage pathway', 'de novo NAD biosynthesis', 'nicotinamide riboside salvage pathway I']",,['NMA2'],,['nicotinamide-nucleotide adenylyltransferase activity'],['Cytidylyltransferase-like']
nicotinate-nucleotide diphosphorylase (carboxylating) activity,2,"['YFR047C', 'YOR209C']",,,,"['NAD biosynthetic process', 'pyridine nucleotide biosynthetic process']",,['lifespan: decreased'],,,,
nicotinic acid riboside hydrolase activity,1,['YDR400W'],,,,,,,,,,
nitric oxide dioxygenase activity,2,"['YGR234W', 'YNL234W']",,,,"['cellular response to nitrosative stress', 'nitric oxide catabolic process']",,,,,"['FAD binding', 'heme binding', 'oxygen binding']",['Globin']
nitric oxide reductase activity,1,['YGR234W'],,,,,,,,,,
nitrilase activity,1,['YIL164C'],,,,,,,,,,
nitrite reductase (NO-forming) activity,1,['YIL111W'],,,,,,,,,,
nitrite uptake transmembrane transporter activity,1,['YHL008C'],,,,,,,,,,
nitronate monooxygenase activity,1,['YJR149W'],,,,,,,,,,
nuclear export signal receptor activity,3,"['YDR335W', 'YGL238W', 'YGR218W']",,,,"['nuclear export', 'protein export from nucleus']",,['nuclear export: absent'],"['TUB2', 'GSP1']",,,
nuclear import signal receptor activity,12,"['YBR017C', 'YDR395W', 'YER110C', 'YGL016W', 'YGL241W', 'YGR218W', 'YJR132W', 'YLR347C', 'YMR308C', 'YNL189W', 'YOL032W', 'YPL125W']",,,"['NLS-dependent protein nuclear import complex', 'cytoplasm', 'nuclear envelope', 'nuclear pore', 'nucleus']","['NLS-bearing protein import into nucleus', 'intracellular protein transport', 'mRNA transport', 'protein import into nucleus', 'protein transport', 'regulation of protein desumoylation']",,"['nuclear import: decreased', 'nuclear import: normal']","['ECM1', 'NUP60', 'SIF2', 'ASM4', 'LCB2', 'RRP8', 'NUP42', 'HTB1', 'HTA1', 'RTT103', 'NIC96', 'NUP145', 'SRM1', 'NUP49', 'RPS26A', 'GCN1', 'HXK2', 'TFG2', 'NUP57', 'RNR4', 'RPF1', 'YNG2', 'PIG2', 'NUP159', 'NSP1', 'URA2', 'URB2', 'MIR1', 'CSE4', 'NUP100', 'GSP1', 'NUP2', 'KAP95', 'TSR2', 'YAP1', 'OGG1', 'TUB1', 'NUP116', 'SAS2', 'FUS2', 'ZDS1', 'RPL16B', 'SRP1', 'NUP1', 'GSP2', 'SAS5', 'WTM2', 'ESA1', 'YPL088W', 'RLM1', 'ASR1']",,"['nuclear localization sequence binding', 'small GTPase binding']","['Importin-beta N-terminal domain', 'HEAT-like repeat']"
nuclear localization sequence binding,10,"['YBR017C', 'YER110C', 'YGR159C', 'YHL010C', 'YLR347C', 'YMR308C', 'YNL189W', 'YOR098C', 'YOR160W', 'YPL125W']",,,"['NLS-dependent protein nuclear import complex', 'nuclear pore']","['NLS-bearing protein import into nucleus', 'intracellular protein transport', 'mRNA transport', 'protein import into nucleus', 'protein transport', 'regulation of protein desumoylation']",,"['nuclear import: decreased', 'nuclear import: normal']","['NUP60', 'ASM4', 'NUP42', 'KAP123', 'NIC96', 'NUP145', 'NUP49', 'RPS26A', 'TFG2', 'NUP57', 'NUP159', 'MLP2', 'NSP1', 'URA2', 'NUP100', 'GSP1', 'NUP2', 'KAP95', 'TSR2', 'YAP1', 'OGG1', 'NUP116', 'SRP1', 'NUP1', 'GSP2', 'YPL088W', 'ASR1']",,"['nuclear import signal receptor activity', 'small GTPase binding']","['Importin-beta N-terminal domain', 'HEAT-like repeat']"
nuclease activity,65,"['Q0060', 'Q0065', 'Q0070', 'Q0075', 'Q0110', 'Q0160', 'YAL021C', 'YAR008W', 'YBL019W', 'YBL055C', 'YBR098W', 'YBR163W', 'YBR223C', 'YBR228W', 'YDL102W', 'YDL185W', 'YDL227C', 'YDR263C', 'YDR370C', 'YDR386W', 'YDR478W', 'YER041W', 'YGL085W', 'YGL094C', 'YGL173C', 'YGL175C', 'YGL246C', 'YGR258C', 'YGR276C', 'YHR164C', 'YJL087C', 'YJL208C', 'YKL011C', 'YKL113C', 'YKR079C', 'YLR059C', 'YLR105C', 'YLR107W', 'YLR132C', 'YLR277C', 'YML091C', 'YML095C', 'YML118W', 'YMR059W', 'YMR137C', 'YMR224C', 'YMR234W', 'YMR239C', 'YMR262W', 'YMR285C', 'YMR287C', 'YNL001W', 'YNL072W', 'YNL085W', 'YNR052C', 'YOL021C', 'YOL042W', 'YOL080C', 'YOR001W', 'YOR033C', 'YOR048C', 'YOR056C', 'YOR368W', 'YPL022W', 'YPL123C']",,"['RFA1', 'APN2', 'TEL1', 'RDH54', 'POL30', 'MMS4', 'MEC1', 'TDP1', 'MRC1', 'RAD18', 'MSH3', 'POL3', 'MSH6', 'HPR1', 'RAD9', 'RNH202', 'XRS2', 'MUS81', 'SMT3', 'YEN1', 'RAD51', 'RAD6', 'MMS2', 'SAE2', 'RNH70', 'RRM3', 'DNA2', 'MPH1', 'PRI1', 'POL32', 'RAD27', 'APN1', 'RAD5', 'REX2', 'REX3', 'SLX4', 'RNH203', 'TOP3', 'MMS22', 'SEN1', 'YAP1', 'RAD52', 'PIF1', 'RAD10', 'CAC2', 'MLH1', 'SGS1', 'MRE11', 'RNH201', 'RAD50', 'TOP1', 'DIS3', 'MSH2', 'RFC4', 'RRP6', 'EXO1', 'ELG1', 'RAD1', 'RMI1', 'RAD53', 'REV3', 'MMS1']","['CCR4-NOT complex', 'nucleus', 'tRNA-intron endonuclease complex']","['DNA catabolic process, endonucleolytic', 'DNA double-strand break processing', 'DNA double-strand break processing involved in repair via synthesis-dependent strand annealing', 'DNA recombination', 'DNA repair', 'DNA replication, removal of RNA primer', 'NAD-cap decapping', 'RNA phosphodiester bond hydrolysis', 'RNA phosphodiester bond hydrolysis, endonucleolytic', 'RNA phosphodiester bond hydrolysis, exonucleolytic', ""U5 snRNA 3'-end processing"", 'apoptotic DNA fragmentation', 'cellular response to DNA damage stimulus', 'double-strand break repair', 'electron transport coupled proton transport', ""exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"", 'gene conversion at mating-type locus', 'intein-mediated protein splicing', 'intron homing', 'mRNA processing', 'meiotic DNA double-strand break processing', 'nuclear polyadenylation-dependent rRNA catabolic process', 'nuclear-transcribed mRNA catabolic process', 'nuclear-transcribed mRNA poly(A) tail shortening', 'nucleic acid phosphodiester bond hydrolysis', 'protein splicing', 'rRNA processing', 'resolution of meiotic recombination intermediates', 'respiratory electron transport chain', 'tRNA processing', 'tRNA splicing, via endonucleolytic cleavage and ligation', 'tRNA-type intron splice site recognition and cleavage']",,"['RNA accumulation: increased', 'X ray resistance: decreased', 'mutation frequency: increased', 'resistance to enzymatic treatment: increased']",,,"[""3'-5' exonuclease activity"", ""3'-5'-exodeoxyribonuclease activity"", ""3'-5'-exoribonuclease activity"", ""5'-3' exodeoxyribonuclease activity"", ""5'-3' exonuclease activity"", ""5'-flap endonuclease activity"", 'DNA binding', 'RNA binding', 'RNA pyrophosphohydrolase activity', 'catalytic activity', 'crossover junction endodeoxyribonuclease activity', 'damaged DNA binding', 'endodeoxyribonuclease activity', 'endonuclease activity', 'endoribonuclease activity', 'exonuclease activity', 'hydrolase activity', 'hydrolase activity, acting on ester bonds', 'metal ion binding', 'nucleic acid binding', 'poly(A)-specific ribonuclease activity', 'ribonuclease activity', 'single-stranded DNA endodeoxyribonuclease activity', 'tRNA-intron endonuclease activity']","['Cytochrome C and Quinol oxidase polypeptide I', 'XPG N-terminal domain', 'XPG I-region', 'Exonuclease', 'LAGLIDADG endonuclease', 'ERCC4 domain', 'LAGLIDADG DNA endonuclease family', 'Endonuclease/Exonuclease/phosphatase family']"
nucleic acid binding,202,"['YAR007C', 'YAR008W', 'YBL032W', 'YBL051C', 'YBL111C', 'YBR119W', 'YBR142W', 'YBR167C', 'YBR212W', 'YBR233W', 'YBR237W', 'YBR267W', 'YCL011C', 'YCL036W', 'YCL059C', 'YCR024C', 'YDL030W', 'YDL031W', 'YDL043C', 'YDL051W', 'YDL084W', 'YDL088C', 'YDL102W', 'YDL160C', 'YDL167C', 'YDL175C', 'YDL189W', 'YDL209C', 'YDL213C', 'YDL224C', 'YDR021W', 'YDR037W', 'YDR045C', 'YDR052C', 'YDR081C', 'YDR088C', 'YDR138W', 'YDR140W', 'YDR194C', 'YDR243C', 'YDR291W', 'YDR301W', 'YDR381W', 'YDR404C', 'YDR429C', 'YDR432W', 'YDR450W', 'YDR514C', 'YDR545W', 'YEL055C', 'YER013W', 'YER068W', 'YER137C', 'YER165W', 'YER171W', 'YER172C', 'YER190W', 'YFL002C', 'YFL066C', 'YFR023W', 'YFR032C', 'YGL043W', 'YGL044C', 'YGL064C', 'YGL070C', 'YGL078C', 'YGL094C', 'YGL120C', 'YGL171W', 'YGL173C', 'YGL251C', 'YGR001C', 'YGR030C', 'YGR072W', 'YGR156W', 'YGR159C', 'YGR222W', 'YGR250C', 'YGR271W', 'YGR276C', 'YGR280C', 'YGR296W', 'YHL024W', 'YHL034C', 'YHL050C', 'YHR015W', 'YHR019C', 'YHR040W', 'YHR065C', 'YHR086W', 'YHR127W', 'YHR167W', 'YHR169W', 'YHR218W', 'YIL061C', 'YIL079C', 'YIR001C', 'YIR005W', 'YIR009W', 'YJL033W', 'YJL050W', 'YJL080C', 'YJL138C', 'YJL208C', 'YJR007W', 'YJR063W', 'YJR091C', 'YKL011C', 'YKL059C', 'YKL074C', 'YKL078W', 'YKL214C', 'YKR024C', 'YKR059W', 'YKR086W', 'YLL008W', 'YLL018C', 'YLL032C', 'YLL046C', 'YLL066C', 'YLR032W', 'YLR059C', 'YLR074C', 'YLR105C', 'YLR107W', 'YLR116W', 'YLR271W', 'YLR276C', 'YLR298C', 'YLR398C', 'YLR419W', 'YLR424W', 'YLR466W', 'YLR467W', 'YML026C', 'YML049C', 'YML062C', 'YML117W', 'YML133C', 'YMR059W', 'YMR128W', 'YMR153W', 'YMR190C', 'YMR229C', 'YMR234W', 'YMR268C', 'YMR290C', 'YMR302C', 'YNL004W', 'YNL016W', 'YNL023C', 'YNL072W', 'YNL073W', 'YNL081C', 'YNL102W', 'YNL110C', 'YNL112W', 'YNL139C', 'YNL175C', 'YNL197C', 'YNL210W', 'YNL224C', 'YNL251C', 'YNL255C', 'YNL262W', 'YNL286W', 'YNL312W', 'YNL339C', 'YNR011C', 'YNR038W', 'YNR051C', 'YNR052C', 'YNR054C', 'YOL021C', 'YOL041C', 'YOL080C', 'YOL123W', 'YOL124C', 'YOL144W', 'YOR001W', 'YOR046C', 'YOR048C', 'YOR077W', 'YOR148C', 'YOR204W', 'YOR242C', 'YOR319W', 'YOR335C', 'YOR361C', 'YOR396W', 'YPL008W', 'YPL043W', 'YPL104W', 'YPL119C', 'YPL167C', 'YPL178W', 'YPL184C', 'YPL190C', 'YPL283C', 'YPR042C', 'YPR112C', 'YPR163C']",,"['NUP60', 'POP8', 'NCL1', 'NUP170', 'SIF2', 'MUD1', 'POP7', 'NTC20', 'GBP2', 'KRR1', 'RPS14A', 'PAT1', 'NOP1', 'PRP11', 'SUB2', 'RPO21', 'DHH1', 'AIR2', 'TRM8', 'GLE1', 'MAK21', 'RRP8', 'RLI1', 'ARX1', 'HPR1', 'SAC3', 'SUP35', 'PCF11', 'RTT103', 'CDC40', 'YRA1', 'TIF35', 'LRS4', 'CWC21', 'PUF6', 'NOP16', 'GCD11', 'MOT2', 'LCP5', 'CHD1', 'PAB1', 'DEG1', 'GCN20', 'PUF4', 'TIF4632', 'DBP3', 'ARC1', 'NAB2', 'XRN1', 'BUD13', 'SAE2', 'GCN1', 'RAI1', 'YGR054W', 'UPF3', 'PRP38', 'SLX9', 'DRN1', 'NUP57', 'SYF2', 'TIF4631', 'MSM1', 'RBG2', 'PBP1', 'SKI6', 'RNH70', 'DED81', 'PIH1', 'SSF1', 'NMD2', 'LRP1', 'NAM8', 'PRP8', 'THP2', 'AIR1', 'IST3', 'SMC3', 'LSM1', 'GCD14', 'TIF2', 'RPA34', 'SUI2', 'ISY1', 'RAD7', 'MOG1', 'YJR084W', 'NMD5', 'MRT4', 'MAK11', 'NUP120', 'NUP100', 'MUD2', 'LTV1', 'SNU114', 'PAP1', 'TIF1', 'SRP40', 'MLP1', 'REX2', 'MEF1', 'REX3', 'MSL5', 'SLS1', 'SMD3', 'HCR1', 'NOP56', 'MEC3', 'TAD3', 'SKI2', 'CDC73', 'LSM3', 'RAD52', 'MFT1', 'RAD10', 'NUP116', 'RNA14', 'NAM7', 'ASC1', 'STO1', 'SGS1', 'RNH1', 'PRP24', 'TMA23', 'GCD10', 'NOP15', 'DBP2', 'THO2', 'LSM7', 'SWT21', 'SWM2', 'PRP2', 'MPP6', 'TOP1', 'NOP12', 'BRX1', 'REX4', 'PAP2', 'CDC33', 'NOP8', 'DCP1', 'RRP6', 'TSR3', 'EXO1', 'DBP5', 'RAT1', 'BUD21', 'ELG1', 'RPB2', 'SWT1', 'RPS28A', 'SYC1', 'TUF1', 'DED1', 'CAF20', 'SNU66', 'RAD17', 'AEP3', 'MSD1', 'TGS1', 'MEX67', 'LEA1', 'TIF5', 'PUF2', 'BRR1', 'SNT309', 'PRP4', 'SKI3', 'DAS2']","['90S preribosome', 'P-body', 'THO complex part of transcription export complex', 'U1 snRNP', 'U2 snRNP', 'U2-type prespliceosome', 'commitment complex', 'cytoplasm', 'cytoplasmic stress granule', 'nucleolus', 'nucleoplasmic THO complex', 'nucleus', 'polysome', 'post-mRNA release spliceosomal complex', 'preribosome, large subunit precursor', 'ribonucleoprotein complex', 'spliceosomal complex', 'tRNA-intron endonuclease complex']","['DNA duplex unwinding', 'DNA recombination', 'RNA phosphodiester bond hydrolysis, endonucleolytic', 'RNA splicing', ""U5 snRNA 3'-end processing"", 'cytoplasmic translational initiation', 'endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', ""exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"", ""mRNA 3'-end processing"", 'mRNA export from nucleus', 'mRNA processing', 'mRNA splicing, via spliceosome', 'maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', 'nuclear mRNA surveillance', 'nuclear polyadenylation-dependent rRNA catabolic process', 'nuclear polyadenylation-dependent tRNA catabolic process', 'nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'nucleic acid phosphodiester bond hydrolysis', 'positive regulation of formation of translation preinitiation complex', 'pre-mRNA cleavage required for polyadenylation', 'rRNA processing', 'regulation of mRNA stability involved in response to oxidative stress', 'regulation of telomere maintenance', 'regulation of translation', 'ribosome biogenesis', 'spliceosomal complex disassembly', 'stress granule assembly', 'telomere maintenance via recombination', 'termination of RNA polymerase II transcription, exosome-dependent', 'transcription-coupled nucleotide-excision repair', 'translational initiation']",,"['RNA accumulation: abnormal', 'RNA accumulation: decreased', 'RNA accumulation: increased', 'RNA localization: abnormal', 'cold sensitivity: increased', 'fermentative growth: decreased rate', 'heat sensitivity: increased', 'inviable', 'protein/peptide accumulation: decreased', 'vegetative growth: decreased']","['SSA1', 'PRP45', 'FUN12', 'PTA1', 'HTB2', 'HTA2', 'UTP20', 'LSM2', 'HHT1', 'OLA1', 'RPL4A', 'HMT1', 'PRP6', 'ECM2', 'MUD1', 'MAK5', 'SPP381', 'RPB5', 'YSY6', 'SMY2', 'GDT1', 'NTC20', 'NGR1', 'PBP2', 'ENP1', 'GBP2', 'SPB1', 'KRR1', 'RRP43', 'PWP2', 'BUD31', 'PAT1', 'CDC39', 'NOP1', 'PRP9', 'DBP10', 'PRP11', 'LHP1', 'UBC9', 'VAM6', 'SUB2', 'LUC7', 'RRP42', 'UBP1', 'RPO21', 'NOP14', 'CDC36', 'AIR2', 'NHP2', 'CWC2', 'NOP6', 'SSB1', 'RPL4B', 'MAK21', 'RRP1', 'SLU7', 'HPR1', 'SAC3', 'SUP35', 'HMO1', 'MSS116', 'HTB1', 'PCF11', 'PRP42', 'SNU56', 'RRP45', 'UTP4', 'CDC40', 'ESF1', 'LSM6', 'YRA1', 'SYF1', 'TIF35', 'NPL3', 'CWC21', 'PUF6', 'SNU13', 'HYP2', 'NUG1', 'PRP22', 'SMB1', 'MOT2', 'LSM4', 'NSA2', 'UBP3', 'PAB1', 'BRR2', 'SPB4', 'SMX2', 'LOC1', 'RPL2A', 'PUF4', 'RPL30', 'RNA15', 'TIF4632', 'MNP1', 'RPL7A', 'DBP3', 'NSA1', 'PRP43', 'RPS2', 'CWC23', 'XRN1', 'BUD13', 'MPT5', 'PRP18', 'SNU71', 'YGR054W', 'SMD1', 'UTP22', 'NOP7', 'UTP8', 'SYF2', 'ENP2', 'PTI1', 'NSR1', 'TIF4631', 'PBP1', 'CRH1', 'CRM1', 'NOP19', 'PUP2', 'CWC22', 'SBP1', 'CBP2', 'CIC1', 'SSF1', 'NOP10', 'NMD2', 'LRP1', 'NAM8', 'GAR1', 'LSM12', 'PRP8', 'THP2', 'UTP9', 'RIX1', 'RPB3', 'ULP2', 'SNP1', 'RPS24B', 'AIR1', 'XBP1', 'POG1', 'MLP2', 'ESL1', 'SGN1', 'IST3', 'PRI1', 'DSN1', 'CTK2', 'NOP9', 'HCA4', 'MTR4', 'BCK1', 'YJL107C', 'UTP10', 'TIF2', 'ROQ1', 'RPA34', 'PRP21', 'MPP10', 'POL31', 'CPR7', 'URB2', 'POL32', 'ISY1', 'RPS5', 'MGM101', 'RPS4A', 'MRT4', 'PRP40', 'URB1', 'SWD2', 'MAK11', 'CSE4', 'DEF1', 'MUD2', 'RRP14', 'YJU2', 'CTK1', 'PIR1', 'EBP2', 'SNU114', 'YRA2', 'PAP1', 'DBP7', 'TIF1', 'LAS1', 'RPF2', 'PRP16', 'SRP40', 'DRS1', 'PUF3', 'KNS1', 'ISA1', 'PRP19', 'RPL8B', 'RLP24', 'SDO1', 'CFT2', 'MSL5', 'CLF1', 'SLS1', 'SMD3', 'CBF5', 'PWP1', 'NOP56', 'UTP13', 'BUR2', 'SMD2', 'YHC1', 'EST2', 'MMS22', 'KAP95', 'CCW14', 'SKI2', 'UTP21', 'SEN1', 'IMD3', 'FPR4', 'SPT5', 'PRP39', 'RSE1', 'IMD4', 'MFT1', 'FPR3', 'NAB6', 'CLU1', 'NUP116', 'ERB1', 'RNA14', 'UTP15', 'ASC1', 'STO1', 'ECM16', 'RAD14', 'CEF1', 'SKY1', 'RRP5', 'RNT1', 'CUS1', 'RPL20A', 'GFD1', 'HSH155', 'HAS1', 'RLP7', 'HRB1', 'PUB1', 'HHT2', 'NOP2', 'IMP4', 'NOP15', 'DBP2', 'KRE33', 'THO2', 'YCK2', 'NOP13', 'UBP10', 'SRP1', 'SSB2', 'MER1', 'NRD1', 'GIS2', 'CAF40', 'TRF5', 'KRI1', 'PRP2', 'MPP6', 'TRM112', 'BRE5', 'NOG2', 'ESF2', 'DSE4', 'NOP12', 'BRX1', 'REX4', 'PAP2', 'RPL18A', 'RPL25', 'CDC33', 'RRP6', 'RPL3', 'RPS7A', 'SPP2', 'RPB2', 'SME1', 'SWT1', 'DED1', 'NOC2', 'YTM1', 'RRS1', 'SNU66', 'NOP58', 'HSH49', 'RRP12', 'NOP4', 'NOG1', 'SYH1', 'DBP1', 'NAN1', 'RPL5', 'PRP46', 'MEX67', 'CBC2', 'NAB3', 'RPL7B', 'NIP7', 'LEA1', 'BMS1', 'RPL1A', 'SUI3', 'RPL36B', 'RPA135', 'TIF6', 'PUF2', 'RDS3', 'SNT309', 'RPL11A', 'MRD1', 'SCD6', 'SGV1', 'SMX3', 'YAR066W', 'RPS8A', 'RPS11B', 'YCL042W', 'RPS11A', 'MRH1', 'CWC15', 'SCW11', 'SCW4', 'RPL27A', 'YHR020W', 'DSE2', 'IMD2', 'RPS22A', 'MNN4', 'YKR075C', 'RPL15A', 'YPS3', 'CTS1', 'RPS22B', 'YLR419W', 'RPS1A', 'RPL6B', 'RPS17A', 'DAT1', 'RPL13B', 'RPS10B', 'SCW10', 'TEX1', 'EGT2', 'AGA1', 'TSR3', 'MRN1', 'YRF1-7', 'NCE102']",['SFP1'],"[""3'-5' exonuclease activity"", ""3'-5'-exoribonuclease activity"", 'ATP binding', 'DNA helicase activity', 'DNA-directed DNA polymerase activity', 'RNA binding', 'RNA helicase activity', 'RNA strand annealing activity', 'RNA-dependent ATPase activity', 'U1 snRNA binding', 'aminoacyl-tRNA ligase activity', 'eukaryotic initiation factor 4G binding', 'exonuclease activity', 'helicase activity', 'hydrolase activity', ""mRNA 3'-UTR binding"", 'mRNA binding', 'nuclease activity', 'nucleotide binding', 'poly(A) binding', 'poly(U) RNA binding', 'rRNA primary transcript binding', 'single-stranded DNA binding', 'single-stranded RNA binding', 'snRNA binding', 'tRNA-intron endonuclease activity', 'translation initiation factor activity', 'zinc ion binding']","['KH domain', 'RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)', 'Zinc knuckle', 'DNA polymerase family B', 'tRNA synthetases class II (D, K and N)', 'DEAD/DEAH box helicase', 'Helicase conserved C-terminal domain', 'Ribosomal protein S13/S18', 'S1 RNA binding domain', 'Exonuclease', 'Transcription factor S-II (TFIIS)', 'OB-fold nucleic acid binding domain', 'G-patch domain', 'RNA polymerases M/15 Kd subunit', 'Sec63 Brl domain', 'DNA polymerase family B, exonuclease domain', 'Helicase associated domain (HA2)', 'Oligonucleotide/oligosaccharide-binding (OB)-fold', 'Domain of unknown function (DUF4217)']"
nucleobase transmembrane transporter activity,10,"['YAL022C', 'YBL042C', 'YBR021W', 'YER056C', 'YER060W', 'YER060W-A', 'YIR028W', 'YLR237W', 'YOR071C', 'YOR192C']",,,"['cell periphery', 'fungal-type vacuole', 'integral component of membrane', 'membrane', 'plasma membrane']","['5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport', 'cytosine transport', 'nicotinamide riboside transport', 'nucleobase transport', 'purine-containing compound transmembrane transport', 'thiamine transport', 'transmembrane transport']",,,,,"['5-amino-1-ribofuranosylimidazole-4-carboxamide transporter activity', 'nicotinamide riboside transmembrane transporter activity', 'transmembrane transporter activity']","['Permease for cytosine/purines, uracil, thiamine, allantoin']"
